impression_id,anonymous_id,item_id,position,retrieval_score,served_at,label
c85aa7d3-2d6f-4efb-876d-a146546d3203,anon_123,N_TEST_2,1,0.81,2026-01-26 04:36:00.358144+00,1
c85aa7d3-2d6f-4efb-876d-a146546d3203,anon_123,N_TEST_1,2,0.77,2026-01-26 04:36:00.358144+00,0
c85aa7d3-2d6f-4efb-876d-a146546d3203,anon_123,N_TEST_3,3,0.75,2026-01-26 04:36:00.358144+00,0
b4f062fd-01af-4bb7-8433-d38627579992,anon_123,N_TEST_2,1,0.81,2026-01-26 04:38:15.129481+00,1
b4f062fd-01af-4bb7-8433-d38627579992,anon_123,N_TEST_1,2,0.77,2026-01-26 04:38:15.129481+00,0
b4f062fd-01af-4bb7-8433-d38627579992,anon_123,N_TEST_3,3,0.75,2026-01-26 04:38:15.129481+00,0
2290b07a-d65f-4f76-8797-a0b1a15802ad,anon_123,N_TEST_2,1,0.81,2026-01-26 04:40:02.847545+00,1
2290b07a-d65f-4f76-8797-a0b1a15802ad,anon_123,N_TEST_1,2,0.77,2026-01-26 04:40:02.847545+00,0
2290b07a-d65f-4f76-8797-a0b1a15802ad,anon_123,N_TEST_3,3,0.75,2026-01-26 04:40:02.847545+00,0
242c7f20-fe13-4d42-9044-28d9dbfc2480,anon_123,N_TEST_2,1,0.81,2026-01-26 04:40:24.054178+00,1
242c7f20-fe13-4d42-9044-28d9dbfc2480,anon_123,N_TEST_1,2,0.77,2026-01-26 04:40:24.054178+00,0
242c7f20-fe13-4d42-9044-28d9dbfc2480,anon_123,N_TEST_3,3,0.75,2026-01-26 04:40:24.054178+00,0
54ba9b1b-559c-4b26-95ed-c4b8d6712724,anon_123,N_TEST_2,1,0.81,2026-01-26 04:40:29.954013+00,1
54ba9b1b-559c-4b26-95ed-c4b8d6712724,anon_123,N_TEST_1,2,0.77,2026-01-26 04:40:29.954013+00,0
54ba9b1b-559c-4b26-95ed-c4b8d6712724,anon_123,N_TEST_3,3,0.75,2026-01-26 04:40:29.954013+00,0
6dacd3f8-4482-4482-bd0d-b2938a0dbeed,anon_123,N_TEST_2,1,0.81,2026-01-26 04:42:32.012904+00,1
6dacd3f8-4482-4482-bd0d-b2938a0dbeed,anon_123,N_TEST_1,2,0.77,2026-01-26 04:42:32.012904+00,0
6dacd3f8-4482-4482-bd0d-b2938a0dbeed,anon_123,N_TEST_3,3,0.75,2026-01-26 04:42:32.012904+00,0
b014a22b-004e-4282-b67a-6709aca38c7d,anon_test_001,N_TEST_1,1,1,2026-01-26 17:19:56.575076+00,0
b014a22b-004e-4282-b67a-6709aca38c7d,anon_test_001,N_TEST_2,2,0.5,2026-01-26 17:19:56.575076+00,0
b014a22b-004e-4282-b67a-6709aca38c7d,anon_test_001,N_TEST_3,3,0.3333333333333333,2026-01-26 17:19:56.575076+00,0
331f2223-8374-486f-a865-6648608e0510,anon_test_001,N_TEST_1,1,1,2026-01-26 17:19:59.927658+00,0
331f2223-8374-486f-a865-6648608e0510,anon_test_001,N_TEST_2,2,0.5,2026-01-26 17:19:59.927658+00,0
331f2223-8374-486f-a865-6648608e0510,anon_test_001,N_TEST_3,3,0.3333333333333333,2026-01-26 17:19:59.927658+00,0
f3a3a359-bf07-4da9-a823-3db7e8a4688a,anon_test_001,N_TEST_1,1,1,2026-01-26 17:20:01.142534+00,0
f3a3a359-bf07-4da9-a823-3db7e8a4688a,anon_test_001,N_TEST_2,2,0.5,2026-01-26 17:20:01.142534+00,0
f3a3a359-bf07-4da9-a823-3db7e8a4688a,anon_test_001,N_TEST_3,3,0.3333333333333333,2026-01-26 17:20:01.142534+00,0
620abf04-dcd7-479a-af51-c0def58a3bac,anon_test_001,N_TEST_1,1,1,2026-01-26 17:20:01.790934+00,0
620abf04-dcd7-479a-af51-c0def58a3bac,anon_test_001,N_TEST_2,2,0.5,2026-01-26 17:20:01.790934+00,0
620abf04-dcd7-479a-af51-c0def58a3bac,anon_test_001,N_TEST_3,3,0.3333333333333333,2026-01-26 17:20:01.790934+00,0
3ccb3221-27ab-4b0d-9ae2-00ed3b03f37b,anon_test_001,N_TEST_1,1,1,2026-01-26 17:20:02.381618+00,0
3ccb3221-27ab-4b0d-9ae2-00ed3b03f37b,anon_test_001,N_TEST_2,2,0.5,2026-01-26 17:20:02.381618+00,0
3ccb3221-27ab-4b0d-9ae2-00ed3b03f37b,anon_test_001,N_TEST_3,3,0.3333333333333333,2026-01-26 17:20:02.381618+00,0
e7d02060-dba0-4d60-bb85-ec632ab565e1,anon_test_001,N_TEST_1,1,1,2026-01-26 17:20:59.383782+00,0
e7d02060-dba0-4d60-bb85-ec632ab565e1,anon_test_001,N_TEST_2,2,0.5,2026-01-26 17:20:59.383782+00,0
e7d02060-dba0-4d60-bb85-ec632ab565e1,anon_test_001,N_TEST_3,3,0.3333333333333333,2026-01-26 17:20:59.383782+00,0
b77a37f0-4380-4838-87f4-d589747525ab,anon_test_001,N_TEST_1,1,1,2026-01-26 17:45:54.426357+00,0
b77a37f0-4380-4838-87f4-d589747525ab,anon_test_001,N_TEST_2,2,0.5,2026-01-26 17:45:54.426357+00,1
b77a37f0-4380-4838-87f4-d589747525ab,anon_test_001,N_TEST_3,3,0.3333333333333333,2026-01-26 17:45:54.426357+00,0
8037b37a-29bd-41d3-8a78-4181fa068a5f,anon_real_001,N35248,1,1,2026-01-27 04:00:43.088909+00,1
8037b37a-29bd-41d3-8a78-4181fa068a5f,anon_real_001,N44570,2,0.5,2026-01-27 04:00:43.088909+00,1
8037b37a-29bd-41d3-8a78-4181fa068a5f,anon_real_001,N100470,3,0.3333333333333333,2026-01-27 04:00:43.088909+00,1
8037b37a-29bd-41d3-8a78-4181fa068a5f,anon_real_001,N59747,4,0.25,2026-01-27 04:00:43.088909+00,1
8037b37a-29bd-41d3-8a78-4181fa068a5f,anon_real_001,N32088,5,0.2,2026-01-27 04:00:43.088909+00,1
