impression_id,anonymous_id,item_id,position,retrieval_score,rank_score,final_score,served_at,label,is_warm_user,user_click_count,item_age_hours
168f725a-0aad-489d-af19-61080b59c99c,ajay,N17022,1,0.0,1.0,1.0,2026-01-28 18:46:58.311909+00:00,0,0,0,0.24744874
168f725a-0aad-489d-af19-61080b59c99c,ajay,N47706,2,0.0,0.5,0.5,2026-01-28 18:46:58.311909+00:00,0,0,0,0.24744874
168f725a-0aad-489d-af19-61080b59c99c,ajay,N27084,3,0.0,0.33333334,0.33333334,2026-01-28 18:46:58.311909+00:00,0,0,0,0.24744874
168f725a-0aad-489d-af19-61080b59c99c,ajay,N19195,4,0.0,0.25,0.25,2026-01-28 18:46:58.311909+00:00,0,0,0,0.24744874
168f725a-0aad-489d-af19-61080b59c99c,ajay,N38770,5,0.0,0.2,0.19857143,2026-01-28 18:46:58.311909+00:00,0,0,0,0.24744874
168f725a-0aad-489d-af19-61080b59c99c,ajay,N21610,6,0.0,0.16666667,0.16574074,2026-01-28 18:46:58.311909+00:00,0,0,0,0.24744874
168f725a-0aad-489d-af19-61080b59c99c,ajay,N56091,7,0.0,0.14285715,0.14285715,2026-01-28 18:46:58.311909+00:00,0,0,0,0.24744874
168f725a-0aad-489d-af19-61080b59c99c,ajay,N48765,8,0.0,0.125,0.125,2026-01-28 18:46:58.311909+00:00,0,0,0,0.24744874
168f725a-0aad-489d-af19-61080b59c99c,ajay,N16463,9,0.0,0.11111111,0.110493824,2026-01-28 18:46:58.311909+00:00,0,0,0,0.24744874
168f725a-0aad-489d-af19-61080b59c99c,ajay,N1492,10,0.0,0.1,0.0995,2026-01-28 18:46:58.311909+00:00,0,0,0,0.24744874
f32ef18e-2915-4e0f-b774-4d451c56d562,john,N52381,1,0.0,1.0,1.0,2026-01-28 18:52:49.126955+00:00,0,0,0,0.34489736
f32ef18e-2915-4e0f-b774-4d451c56d562,john,N63291,2,0.0,0.5,0.5,2026-01-28 18:52:49.126955+00:00,0,0,0,0.34489736
f32ef18e-2915-4e0f-b774-4d451c56d562,john,N11016,3,0.0,0.33333334,0.33333334,2026-01-28 18:52:49.126955+00:00,0,0,0,0.34489736
f32ef18e-2915-4e0f-b774-4d451c56d562,john,N39480,4,0.0,0.25,0.2484375,2026-01-28 18:52:49.126955+00:00,0,0,0,0.34489736
f32ef18e-2915-4e0f-b774-4d451c56d562,john,N31680,5,0.0,0.2,0.2,2026-01-28 18:52:49.126955+00:00,0,0,0,0.34489736
f32ef18e-2915-4e0f-b774-4d451c56d562,john,N9905,6,0.0,0.16666667,0.165625,2026-01-28 18:52:49.126955+00:00,0,0,0,0.34489736
f32ef18e-2915-4e0f-b774-4d451c56d562,john,N34011,7,0.0,0.14285715,0.14285715,2026-01-28 18:52:49.126955+00:00,0,0,0,0.34489736
f32ef18e-2915-4e0f-b774-4d451c56d562,john,N65180,8,0.0,0.125,0.125,2026-01-28 18:52:49.126955+00:00,0,0,0,0.34489736
f32ef18e-2915-4e0f-b774-4d451c56d562,john,N42816,9,0.0,0.11111111,0.10962963,2026-01-28 18:52:49.126955+00:00,0,0,0,0.34489736
f32ef18e-2915-4e0f-b774-4d451c56d562,john,N55638,10,0.0,0.1,0.1,2026-01-28 18:52:49.126955+00:00,0,0,0,0.34489736
da6ea43f-4588-4b25-8010-d72d884248f6,john,N60630,1,0.0,1.0,1.0,2026-01-28 18:53:13.669989+00:00,0,0,0,0.35171488
da6ea43f-4588-4b25-8010-d72d884248f6,john,N13756,2,0.0,0.5,0.5,2026-01-28 18:53:13.669989+00:00,0,0,0,0.35171488
